Unnamed: 0,Y_soft,Y_hard
57,[0.90221554 0.08315205 0.01463238],[1. 0. 0.]
58,[0.05416494 0.63570869 0.31012639],[1. 0. 0.]
59,[0.00390903 0.03814203 0.95794898],[0. 0. 1.]
60,[0.93259186 0.05819636 0.00921174],[1. 0. 0.]
61,[0.26438916 0.46324182 0.27236897],[0. 0. 1.]
62,[0.32891309 0.58653241 0.08455446],[0. 1. 0.]
63,[0.65140456 0.31829539 0.03030004],[0. 1. 0.]
64,[0.00218173 0.00565628 0.99216205],[0. 0. 1.]
65,[0.79638487 0.17962612 0.02398898],[1. 0. 0.]
66,[0.8726421  0.11809532 0.00926258],[1. 0. 0.]
67,[0.17112005 0.37968439 0.44919553],[0. 0. 1.]
68,[0.04670986 0.14829391 0.80499619],[0. 0. 1.]
69,[0.03160393 0.27167571 0.69672036],[0. 1. 0.]
70,[0.01492668 0.69688565 0.28818759],[0. 1. 0.]
71,[0.00231849 0.09690957 0.90077192],[0. 0. 1.]
72,[0.00265534 0.0234318  0.97391278],[0. 0. 1.]
73,[0.89333838 0.08811158 0.01855002],[1. 0. 0.]
74,[0.00855421 0.01991527 0.9715305 ],[0. 0. 1.]
75,[0.40397051 0.54725319 0.04877624],[0. 1. 0.]
76,[0.00404566 0.01223684 0.98371756],[0. 1. 0.]
77,[0.00224032 0.02817886 0.96958083],[0. 0. 1.]
78,[0.02402532 0.23752354 0.73845118],[1. 0. 0.]
79,[0.00747222 0.05535101 0.9371767 ],[0. 0. 1.]
80,[0.08268117 0.23547266 0.6818462 ],[0. 0. 1.]
81,[0.77058721 0.22023822 0.00917452],[1. 0. 0.]
82,[0.95513284 0.03886417 0.00600291],[1. 0. 0.]
83,[0.00244313 0.01030622 0.98725069],[0. 0. 1.]
84,[0.00538416 0.12345657 0.87115932],[0. 1. 0.]
85,[0.00403649 0.01678958 0.9791739 ],[0. 0. 1.]
86,[0.00196145 0.00728937 0.99074918],[0. 0. 1.]
87,[0.00432578 0.03256545 0.96310878],[0. 0. 1.]
88,[0.76649255 0.19303907 0.04046841],[1. 0. 0.]
89,[0.00136662 0.01477386 0.98385954],[0. 1. 0.]
90,[0.00275429 0.01085846 0.98638725],[0. 0. 1.]
91,[0.28484467 0.47326201 0.24189335],[0. 1. 0.]
92,[0.00315106 0.00779103 0.98905796],[0. 0. 1.]
93,[0.90752673 0.07722959 0.01524369],[1. 0. 0.]
94,[0.00331936 0.0278267  0.96885395],[0. 0. 1.]
95,[0.00442725 0.01296611 0.98260659],[0. 0. 1.]
96,[0.19042923 0.63577747 0.17379338],[1. 0. 0.]
97,[0.21669404 0.41403225 0.36927372],[0. 1. 0.]
98,[0.22062548 0.70276082 0.0766137 ],[0. 1. 0.]
99,[0.00282721 0.06495855 0.9322142 ],[0. 0. 1.]
100,[0.00547503 0.01266254 0.98186237],[0. 0. 1.]
101,[0.08624817 0.71862966 0.19512215],[0. 1. 0.]
102,[0.50478274 0.4081504  0.08706684],[1. 0. 0.]
103,[0.19429179 0.76693285 0.03877543],[0. 1. 0.]
104,[0.86977875 0.10595457 0.02426675],[1. 0. 0.]
105,[0.12803486 0.74309194 0.12887329],[0. 1. 0.]
106,[0.84181982 0.138163   0.02001715],[1. 0. 0.]
107,[0.02111252 0.47188678 0.50700068],[0. 1. 0.]
108,[0.85580873 0.09356368 0.05062756],[0. 1. 0.]
109,[0.74371874 0.20166489 0.05461637],[0. 1. 0.]
110,[0.16076036 0.76427037 0.07496919],[0. 1. 0.]
111,[0.9109509  0.07722293 0.01182617],[1. 0. 0.]
112,[0.00591484 0.07509041 0.91899472],[0. 0. 1.]
113,[0.61651194 0.32837716 0.05511089],[0. 1. 0.]
114,[0.54751718 0.39529979 0.05718304],[0. 1. 0.]
115,[0.01280494 0.87922019 0.10797489],[0. 1. 0.]
116,[0.00349082 0.01624013 0.98026901],[0. 0. 1.]
117,[0.00369506 0.00979601 0.98650891],[0. 0. 1.]
118,[0.00877367 0.52434701 0.46687931],[1. 0. 0.]
119,[0.00349507 0.07678676 0.91971821],[0. 0. 1.]
120,[0.06690098 0.2589834  0.6741156 ],[0. 1. 0.]
121,[0.90651196 0.08712225 0.00636575],[1. 0. 0.]
122,[0.00364293 0.01276589 0.98359126],[0. 0. 1.]
123,[0.74516618 0.24194287 0.01289094],[1. 0. 0.]
124,[0.76431412 0.22444606 0.01123983],[0. 1. 0.]
125,[0.00408012 0.02638756 0.96953231],[0. 0. 1.]
126,[0.01302108 0.71306825 0.27391076],[0. 1. 0.]
127,[0.01721057 0.9572795  0.02550981],[0. 1. 0.]
128,[0.0059324  0.01312658 0.980941  ],[0. 0. 1.]
129,[0.89521265 0.09748452 0.00730281],[1. 0. 0.]
130,[0.02389542 0.95250827 0.02359629],[0. 1. 0.]
131,[0.82601982 0.16032794 0.0136523 ],[1. 0. 0.]
132,[0.39035085 0.56604773 0.0436015 ],[1. 0. 0.]
133,[0.00702317 0.05549118 0.93748558],[0. 0. 1.]
134,[0.00491427 0.08701984 0.90806586],[0. 0. 1.]
135,[0.7766999  0.20062889 0.02267128],[0. 1. 0.]
136,[0.00561946 0.66161835 0.33276218],[0. 1. 0.]
137,[0.75867087 0.19428995 0.04703915],[0. 1. 0.]
138,[0.68336511 0.29867435 0.01796054],[0. 1. 0.]
139,[0.00708656 0.15691176 0.83600169],[0. 1. 0.]
140,[0.06377995 0.80866557 0.12755442],[0. 1. 0.]
141,[0.00546086 0.38086686 0.61367226],[0. 1. 0.]
142,[0.39121228 0.55509812 0.05368956],[0. 0. 1.]
143,[0.0040902  0.01745841 0.97845137],[0. 0. 1.]
144,[0.87899107 0.10444797 0.01656098],[0. 1. 0.]
145,[0.01681038 0.45726153 0.52592808],[0. 1. 0.]
146,[0.8783682  0.09616457 0.02546714],[1. 0. 0.]
147,[0.0472453  0.20683163 0.7459231 ],[0. 0. 1.]
148,[0.01115497 0.11746207 0.87138301],[0. 0. 1.]
149,[0.02864488 0.10905696 0.86229813],[0. 1. 0.]
150,[0.43546167 0.47027087 0.0942675 ],[0. 1. 0.]
151,[0.00371605 0.04355185 0.95273209],[0. 0. 1.]
152,[0.00365782 0.0254059  0.9709363 ],[0. 0. 1.]
153,[0.90932679 0.08281301 0.00786017],[0. 1. 0.]
154,[0.01706761 0.81203884 0.17089348],[0. 1. 0.]
155,[0.24624018 0.73449463 0.0192652 ],[0. 1. 0.]
156,[0.03897969 0.25631255 0.70470774],[0. 1. 0.]
157,[0.10007914 0.65214026 0.24778061],[0. 1. 0.]
158,[0.00935069 0.62793362 0.36271569],[0. 1. 0.]
159,[0.49194431 0.46880129 0.03925446],[1. 0. 0.]
160,[0.88176745 0.09988197 0.01835059],[1. 0. 0.]
161,[0.00703726 0.09826988 0.89469284],[0. 0. 1.]
162,[0.0612891  0.20935798 0.72935289],[0. 0. 1.]
163,[0.02049315 0.49431375 0.4851931 ],[0. 0. 1.]
164,[0.9330532  0.06194484 0.00500191],[1. 0. 0.]
165,[0.46310389 0.51583177 0.02106434],[1. 0. 0.]
166,[0.04068587 0.88103491 0.07827923],[0. 1. 0.]
167,[0.60407019 0.36567464 0.03025521],[0. 1. 0.]
168,[0.67095757 0.24996492 0.07907753],[1. 0. 0.]
169,[0.50945616 0.17497705 0.31556675],[0. 1. 0.]
170,[0.77203882 0.20825738 0.01970381],[0. 1. 0.]
171,[0.31508225 0.64373434 0.04118342],[0. 1. 0.]
172,[0.01982024 0.91259849 0.06758121],[0. 1. 0.]
173,[0.23874438 0.67078328 0.09047234],[0. 1. 0.]
174,[0.85622472 0.13417993 0.00959542],[0. 1. 0.]
175,[0.78397346 0.17400506 0.04202151],[0. 1. 0.]
176,[0.00357807 0.01308561 0.98333633],[0. 0. 1.]
177,[0.82233989 0.16701697 0.0106431 ],[1. 0. 0.]
178,[0.69302303 0.27728671 0.02969029],[1. 0. 0.]
179,[0.11777394 0.77281982 0.10940626],[0. 1. 0.]
180,[0.05722854 0.38013658 0.56263489],[0. 0. 1.]
181,[0.04106382 0.71624368 0.24269253],[0. 0. 1.]
182,[0.00311777 0.00963824 0.98724395],[0. 1. 0.]
183,[0.91672826 0.07774639 0.0055253 ],[1. 0. 0.]
184,[0.00558392 0.01819789 0.97621822],[0. 0. 1.]
185,[0.0029944  0.00898241 0.98802316],[0. 0. 1.]
186,[0.00697558 0.2276542  0.76537019],[0. 0. 1.]
187,[0.03396586 0.32606512 0.63996905],[0. 1. 0.]
188,[0.01771112 0.75093925 0.23134959],[1. 0. 0.]
189,[0.01186231 0.63883406 0.34930369],[0. 1. 0.]
190,[0.00455174 0.22775462 0.76769358],[0. 0. 1.]
191,[0.03284741 0.09759399 0.86955857],[0. 0. 1.]
192,[0.12758476 0.78845912 0.08395618],[0. 1. 0.]
193,[0.01937341 0.85726684 0.12335971],[0. 1. 0.]
194,[0.14507107 0.32540464 0.52952433],[1. 0. 0.]
195,[0.55018556 0.41585499 0.03395944],[0. 1. 0.]
196,[0.89821482 0.09515416 0.00663097],[1. 0. 0.]
197,[0.04235712 0.42895305 0.52868986],[0. 1. 0.]
198,[0.44562432 0.43127406 0.12310158],[0. 1. 0.]
199,[0.00566854 0.01905805 0.97527337],[0. 0. 1.]
200,[0.90869355 0.08272784 0.00857868],[1. 0. 0.]
201,[0.0991866  0.12071878 0.78009462],[1. 0. 0.]
202,[0.78674114 0.15467615 0.0585826 ],[1. 0. 0.]
203,[0.79237002 0.17326036 0.03436961],[1. 0. 0.]
204,[0.71746105 0.25957385 0.02296506],[1. 0. 0.]
205,[0.02583856 0.36226341 0.61189801],[0. 0. 1.]
206,[0.03572059 0.71791971 0.24635969],[0. 1. 0.]
207,[0.01817124 0.85950589 0.12232289],[0. 1. 0.]
208,[0.85424417 0.12360947 0.02214627],[1. 0. 0.]
209,[0.63983506 0.26041585 0.09974913],[0. 1. 0.]
210,[0.0094443  0.10103106 0.88952464],[0. 1. 0.]
211,[0.27040216 0.68153214 0.04806564],[0. 1. 0.]
212,[0.00390923 0.0206201  0.97547066],[0. 0. 1.]
213,[0.00313739 0.0172322  0.97963035],[0. 0. 1.]
214,[0.44333217 0.48785415 0.06881372],[0. 1. 0.]
215,[0.00723415 0.02269443 0.97007138],[0. 0. 1.]
216,[0.935651   0.05949365 0.00485532],[1. 0. 0.]
217,[0.66481602 0.3183749  0.01680907],[1. 0. 0.]
218,[0.92416388 0.06510773 0.01072841],[1. 0. 0.]
219,[0.757936   0.2293856  0.01267844],[0. 1. 0.]
220,[0.04785168 0.89724064 0.05490758],[0. 1. 0.]
221,[0.0032049  0.00834175 0.98845333],[0. 1. 0.]
222,[0.02344674 0.15693155 0.81962174],[0. 0. 1.]
223,[0.01479957 0.07148782 0.91371262],[0. 1. 0.]
224,[0.00562074 0.44111016 0.55326909],[0. 1. 0.]
225,[0.01252329 0.41006407 0.57741261],[0. 1. 0.]
226,[0.05538279 0.43385518 0.51076198],[0. 1. 0.]
227,[0.79827094 0.17777812 0.02395093],[1. 0. 0.]
228,[0.0116627  0.60937524 0.37896201],[0. 1. 0.]
229,[0.00956181 0.11725378 0.87318438],[0. 0. 1.]
230,[0.00356947 0.04374843 0.95268214],[0. 0. 1.]
231,[0.02305119 0.33221826 0.64473063],[0. 1. 0.]
232,[0.63354313 0.34750557 0.01895132],[1. 0. 0.]
233,[0.54946095 0.41505554 0.03548349],[0. 1. 0.]
234,[0.42495194 0.55071044 0.02433764],[0. 1. 0.]
235,[0.00633967 0.06611003 0.92755026],[0. 0. 1.]
236,[0.51683992 0.44410136 0.03905867],[1. 0. 0.]
237,[0.63503355 0.32545888 0.03950755],[1. 0. 0.]
238,[0.70515215 0.24642418 0.04842369],[0. 1. 0.]
239,[0.00275651 0.03790053 0.95934296],[0. 0. 1.]
240,[0.01244827 0.16918184 0.81836987],[0. 1. 0.]
241,[0.00318265 0.008961   0.98785633],[0. 0. 1.]
242,[0.08534861 0.70390433 0.21074705],[0. 1. 0.]
243,[0.00170108 0.01979578 0.97850317],[0. 0. 1.]
244,[0.00222056 0.01026512 0.98751432],[0. 0. 1.]
245,[0.52342522 0.43132451 0.04525021],[0. 0. 1.]
246,[0.00575933 0.03684969 0.95739096],[0. 0. 1.]
247,[0.55485976 0.40315837 0.04198191],[1. 0. 0.]
248,[0.68472701 0.29085195 0.02442106],[1. 0. 0.]
249,[0.00172722 0.01818503 0.9800877 ],[0. 0. 1.]
250,[0.02718751 0.41369924 0.55911326],[1. 0. 0.]
251,[0.03808061 0.60096222 0.36095721],[0. 1. 0.]
252,[0.03441283 0.67829645 0.28729078],[0. 1. 0.]
253,[0.38495442 0.55929244 0.05575321],[0. 1. 0.]
254,[0.00476829 0.02550085 0.96973079],[0. 0. 1.]
255,[0.41255614 0.51914328 0.06830055],[0. 1. 0.]
256,[0.00285543 0.03161029 0.96553427],[0. 0. 1.]
257,[0.0037957  0.02001203 0.9761923 ],[0. 0. 1.]
258,[0.0254655  0.82731307 0.14722146],[0. 1. 0.]
259,[0.08339268 0.71811384 0.19849347],[0. 1. 0.]
260,[0.00303941 0.01706455 0.97989607],[0. 0. 1.]
261,[0.0028565  0.06849047 0.928653  ],[0. 0. 1.]
262,[0.94331956 0.04943885 0.00724156],[1. 0. 0.]
263,[0.00822536 0.06073707 0.9310376 ],[0. 0. 1.]
264,[0.20747226 0.61983746 0.17269032],[0. 0. 1.]
265,[0.94106466 0.05201779 0.00691753],[1. 0. 0.]
266,[0.10645474 0.47016075 0.42338446],[0. 1. 0.]
267,[0.00258753 0.00617219 0.99124032],[0. 0. 1.]
268,[0.05738733 0.85988402 0.08272865],[0. 1. 0.]
269,[0.07027906 0.10996003 0.81976092],[0. 0. 1.]
270,[0.07321288 0.14497215 0.78181499],[1. 0. 0.]
271,[0.41662383 0.4340362  0.14933999],[0. 1. 0.]
272,[0.02795899 0.79102004 0.18102096],[0. 1. 0.]
273,[0.04579715 0.83736944 0.11683338],[0. 1. 0.]
274,[0.03807034 0.06393249 0.89799714],[0. 1. 0.]
275,[0.00674367 0.10590423 0.88735211],[1. 0. 0.]
276,[0.89643478 0.09452677 0.00903853],[1. 0. 0.]
277,[0.71061307 0.25792933 0.03145759],[0. 1. 0.]
278,[0.60617453 0.28856066 0.10526485],[0. 1. 0.]
279,[0.38841879 0.54346055 0.06812067],[1. 0. 0.]
280,[0.00552178 0.00906553 0.98541266],[1. 0. 0.]
281,[0.38687679 0.58674228 0.02638095],[0. 1. 0.]
282,[0.01428567 0.05807455 0.92763984],[0. 0. 1.]
283,[0.86385942 0.11118345 0.02495714],[1. 0. 0.]
284,[0.55107123 0.43146247 0.0174663 ],[0. 1. 0.]
285,[0.77708006 0.21106674 0.01185318],[0. 1. 0.]
286,[0.56235206 0.23061952 0.2070284 ],[0. 1. 0.]
287,[0.47050166 0.45537513 0.07412323],[0. 1. 0.]
288,[0.01099251 0.25765035 0.73135716],[0. 1. 0.]
289,[0.0273846  0.89852971 0.07408559],[0. 1. 0.]
290,[0.01212461 0.13688011 0.8509953 ],[0. 1. 0.]
291,[0.00289216 0.00695506 0.99015278],[0. 0. 1.]
292,[0.00469313 0.10627359 0.88903332],[0. 1. 0.]
293,[0.0910916  0.54928023 0.35962817],[0. 1. 0.]
294,[0.03297894 0.05772688 0.90929419],[1. 0. 0.]
295,[0.65495288 0.32655165 0.01849549],[1. 0. 0.]
296,[0.93185425 0.05828699 0.00985878],[1. 0. 0.]
297,[0.90122312 0.08917782 0.00959903],[1. 0. 0.]
298,[0.02153881 0.8913933  0.08706788],[0. 1. 0.]
299,[0.00657291 0.02072962 0.97269744],[0. 0. 1.]
300,[0.01904016 0.91427732 0.06668252],[0. 1. 0.]
301,[0.70806551 0.27817473 0.01375979],[0. 1. 0.]
302,[0.00164849 0.00858758 0.98976398],[0. 0. 1.]
303,[0.02265062 0.25541496 0.72193444],[0. 0. 1.]
304,[0.00366901 0.0294341  0.96689689],[0. 0. 1.]
305,[0.00234179 0.00990345 0.98775476],[0. 0. 1.]
306,[0.0031581  0.01138704 0.98545492],[0. 0. 1.]
307,[0.92255884 0.07096443 0.00647672],[1. 0. 0.]
308,[0.90993619 0.07959653 0.01046729],[1. 0. 0.]
309,[0.92046529 0.07185356 0.00768122],[1. 0. 0.]
310,[0.85423523 0.13513844 0.0106264 ],[1. 0. 0.]
311,[0.00675734 0.18940158 0.80384105],[0. 0. 1.]
312,[0.01313582 0.75326991 0.23359424],[0. 1. 0.]
313,[0.26400626 0.57497436 0.16101937],[0. 0. 1.]
314,[0.00722883 0.13500099 0.85777014],[0. 1. 0.]
315,[0.93455911 0.05381588 0.01162498],[1. 0. 0.]
316,[0.06187759 0.4486312  0.48949122],[0. 1. 0.]
317,[0.00370329 0.0761718  0.92012495],[0. 1. 0.]
318,[0.00683762 0.09640262 0.89675975],[0. 0. 1.]
319,[0.01209829 0.34098065 0.64692104],[0. 0. 1.]
320,[0.75935501 0.22286387 0.01778113],[0. 1. 0.]
321,[0.02970429 0.08668964 0.88360608],[1. 0. 0.]
322,[0.26093063 0.61193216 0.1271372 ],[0. 1. 0.]
323,[0.83424395 0.15429366 0.01146233],[1. 0. 0.]
324,[0.57513672 0.33085209 0.0940112 ],[0. 1. 0.]
325,[0.0066605  0.83859885 0.1547406 ],[0. 1. 0.]
326,[0.61106497 0.35432225 0.03461276],[0. 1. 0.]
327,[0.0046524  0.06092212 0.93442541],[0. 0. 1.]
328,[0.80450076 0.16255711 0.03294215],[0. 1. 0.]
329,[0.23588797 0.45110813 0.3130039 ],[1. 0. 0.]
330,[0.00453136 0.05797898 0.93748969],[0. 0. 1.]
331,[0.93234676 0.05865867 0.00899462],[0. 1. 0.]
332,[0.87347013 0.12054461 0.00598529],[1. 0. 0.]
333,[0.01823731 0.13757534 0.84418738],[0. 0. 1.]
334,[0.0053901  0.84263784 0.15197213],[0. 1. 0.]
335,[0.07963172 0.78289437 0.13747399],[0. 1. 0.]
336,[0.06924336 0.77625012 0.15450655],[0. 1. 0.]
337,[0.05988299 0.81244403 0.12767303],[0. 0. 1.]
338,[0.70609713 0.2773338  0.01656909],[0. 1. 0.]
339,[0.89182097 0.09302071 0.01515832],[1. 0. 0.]
340,[0.15466143 0.80253273 0.04280584],[0. 1. 0.]
341,[0.12873589 0.27140114 0.59986299],[0. 1. 0.]
342,[0.88379329 0.10239067 0.01381603],[1. 0. 0.]
343,[0.91482103 0.07830767 0.00687121],[1. 0. 0.]
344,[0.00477227 0.01949757 0.97573018],[0. 0. 1.]
345,[0.06354977 0.72918409 0.20726615],[0. 1. 0.]
346,[0.80471283 0.17994778 0.01533942],[1. 0. 0.]
347,[0.01756373 0.08290503 0.89953119],[0. 0. 1.]
348,[0.0020341  0.0133066  0.98465931],[0. 0. 1.]
349,[0.07074028 0.52859116 0.40066862],[0. 1. 0.]
350,[0.00790764 0.82122892 0.17086345],[0. 1. 0.]
351,[0.00925582 0.15332989 0.83741426],[0. 0. 1.]
352,[0.83614898 0.14151731 0.02233363],[1. 0. 0.]
353,[0.01488346 0.03031598 0.95480061],[0. 0. 1.]
354,[0.89783329 0.09638299 0.00578373],[0. 1. 0.]
355,[0.92077649 0.07122625 0.00799732],[1. 0. 0.]
356,[0.06278807 0.83341908 0.10379286],[0. 1. 0.]
357,[0.00878641 0.76209873 0.22911493],[0. 1. 0.]
358,[0.9032231  0.08504558 0.01173121],[1. 0. 0.]
359,[0.02104399 0.49054495 0.48841104],[0. 1. 0.]
360,[0.00400199 0.02269996 0.97329807],[0. 0. 1.]
361,[0.27812186 0.66947573 0.05240238],[1. 0. 0.]
362,[0.23099937 0.64009261 0.12890807],[0. 1. 0.]
363,[0.40060002 0.54777986 0.05162017],[0. 1. 0.]
364,[0.69213146 0.25994387 0.04792465],[1. 0. 0.]
365,[0.88626957 0.10410158 0.00962887],[1. 0. 0.]
366,[0.00949926 0.04206653 0.94843429],[0. 0. 1.]
367,[0.859644   0.12322715 0.01712878],[0. 1. 0.]
368,[0.83337528 0.1580198  0.00860497],[1. 0. 0.]
369,[0.32288277 0.3534686  0.32364866],[0. 1. 0.]
370,[0.41866332 0.41114998 0.17018673],[0. 1. 0.]
371,[0.00187141 0.00815158 0.98997706],[0. 0. 1.]
372,[0.27376953 0.29544923 0.43078128],[0. 1. 0.]
373,[0.89479518 0.09708636 0.00811854],[1. 0. 0.]
374,[0.67541254 0.29572955 0.02885792],[0. 0. 1.]
375,[0.84423792 0.13682027 0.01894186],[1. 0. 0.]
376,[0.89875287 0.09295662 0.00829042],[1. 0. 0.]
377,[0.28098145 0.55230272 0.16671582],[1. 0. 0.]
378,[0.70516127 0.20978987 0.08504883],[0. 0. 1.]
379,[0.08011373 0.2233903  0.69649595],[0. 0. 1.]
380,[0.70073569 0.2746872  0.02457708],[0. 1. 0.]
381,[0.003614  0.0070811 0.9893049],[0. 0. 1.]
382,[0.55621976 0.34967944 0.09410085],[1. 0. 0.]
383,[0.00549484 0.18428016 0.81022501],[0. 1. 0.]
384,[0.00662384 0.18190528 0.81147093],[0. 1. 0.]
385,[0.88554788 0.10222364 0.01222846],[1. 0. 0.]
386,[0.00349389 0.01629351 0.98021257],[0. 0. 1.]
387,[0.02432251 0.29395661 0.68172085],[0. 1. 0.]
388,[0.0334401  0.65886652 0.30769342],[1. 0. 0.]
389,[0.12792315 0.39925501 0.47282192],[1. 0. 0.]
390,[0.00522505 0.02072032 0.97405463],[0. 0. 1.]
391,[0.04624851 0.82108849 0.13266307],[0. 1. 0.]
392,[0.00180602 0.00817495 0.99001896],[0. 0. 1.]
393,[0.06922087 0.40508389 0.5256952 ],[0. 1. 0.]
394,[0.11876915 0.79542565 0.0858052 ],[0. 1. 0.]
395,[0.02991802 0.93214637 0.0379356 ],[0. 1. 0.]
396,[0.00742812 0.21931492 0.77325696],[1. 0. 0.]
397,[0.1247804  0.09432764 0.7808919 ],[0. 1. 0.]
398,[0.04416467 0.26028168 0.69555366],[0. 0. 1.]
399,[0.00307092 0.00870406 0.98822498],[0. 0. 1.]
400,[0.00773908 0.9352966  0.05696435],[0. 1. 0.]
401,[0.88300943 0.10093468 0.01605587],[1. 0. 0.]
402,[0.00643291 0.04758124 0.94598585],[0. 0. 1.]
403,[0.68255222 0.28345114 0.03399662],[1. 0. 0.]
404,[0.00209558 0.01671719 0.98118722],[0. 1. 0.]
405,[0.00404966 0.03458875 0.96136165],[0. 1. 0.]
406,[0.04184527 0.43485165 0.52330309],[0. 1. 0.]
407,[0.0192051  0.80044252 0.18035239],[0. 0. 1.]
408,[0.92756236 0.06752454 0.00491302],[1. 0. 0.]
409,[0.95378202 0.0391729  0.0070451 ],[1. 0. 0.]
410,[0.87456799 0.11706284 0.0083691 ],[1. 0. 0.]
411,[0.0069355  0.06152982 0.93153471],[0. 1. 0.]
412,[0.75537896 0.23540591 0.00921506],[1. 0. 0.]
413,[0.88202709 0.10605398 0.01191894],[1. 0. 0.]
414,[0.00542026 0.04011101 0.95446873],[0. 0. 1.]
415,[0.00446581 0.08760469 0.90792954],[0. 0. 1.]
416,[0.75718284 0.21765612 0.02516106],[1. 0. 0.]
417,[0.05522366 0.71943355 0.22534284],[0. 1. 0.]
418,[0.0027252  0.00919299 0.98808181],[0. 0. 1.]
419,[0.13261077 0.63274568 0.23464356],[0. 1. 0.]
420,[0.89891046 0.08548178 0.01560774],[1. 0. 0.]
421,[0.84822947 0.13802905 0.01374143],[1. 0. 0.]
422,[0.1151479  0.80578238 0.07906967],[0. 1. 0.]
423,[0.52848923 0.40385967 0.0676511 ],[0. 1. 0.]
424,[0.26053515 0.69734538 0.04211951],[0. 1. 0.]
425,[0.00643481 0.05170813 0.94185698],[0. 0. 1.]
426,[0.16497266 0.80902231 0.02600512],[0. 1. 0.]
427,[0.59869641 0.31526333 0.08604024],[0. 1. 0.]
428,[0.78921074 0.17574289 0.03504627],[0. 0. 1.]
429,[0.84745425 0.13516051 0.01738532],[1. 0. 0.]
430,[0.00174475 0.01454438 0.98371083],[0. 0. 1.]
431,[0.88745517 0.10333569 0.0092092 ],[1. 0. 0.]
432,[0.00165972 0.00667808 0.99166214],[0. 0. 1.]
